work_0,idle0,heavy_0,work_1,idle1,heavy_1,work_2,idle2,heavy_2,work_3,idle3,heavy_3,chunktime, total_idle, total_heavy
0.0017109,0.0010796,960,0.0010143,0.0017761999,290,0.0014066,0.0013839,789,0.0011625,0.0016279999,628,0.0027905,0.0058676996,2667
0.001439,0.0001067,811,0.0014158,0.00012990006,809,0.0014068,0.00013890001,617,0.0014129,0.00013279996,430,0.0015457,0.0005083,2667
0.0014527,0.00020430004,814,0.0014536,0.00020340004,817,0.0014425,0.0002145,522,0.0014347,0.00022230006,514,0.001657,0.00084450014,2667
0.0014548,0.00018500001,812,0.0014552,0.00018460001,853,0.0014151,0.00022470008,493,0.0014251,0.0002147,509,0.0016398,0.0008090001,2667
0.0014395,0.00018249999,831,0.0013989,0.00022309995,818,0.0013878,0.00023420004,513,0.0013981,0.00022389996,505,0.001622,0.00086369994,2667
0.001442,0.00019169995,855,0.0014012,0.00023250002,811,0.0013907,0.00024299999,510,0.0013983,0.00023539993,491,0.0016337,0.0009025999,2667
0.0014112,0.00022529997,812,0.0014153,0.00022120005,794,0.0014005,0.00023600005,538,0.0014118,0.00022469996,523,0.0016365,0.00090720004,2667
0.0014369,0.00019259995,842,0.0013932,0.00023629994,818,0.0013829,0.0002465999,479,0.0013924,0.00023709994,528,0.0016295,0.00091259973,2667
0.0014073,0.00019709999,898,0.0014093,0.00019509997,837,0.0013614,0.00024299999,468,0.0013709,0.00023350003,464,0.0016044,0.0008687,2667
0.0013893,9.970006e-05,868,0.00139,9.9000055e-05,845,0.001389,0.00010000006,485,0.0013899,9.9100056e-05,469,0.001489,0.00039780024,2667
0.0011578,0.00019450008,649,0.0012228,0.00012950005,621,0.0012158,0.00013650011,702,0.0012216,0.00013070006,695,0.0013523,0.0005912003,2667
0.0013486,0.00010569999,779,0.0013037,0.00015059998,783,0.0013021,0.0001522,714,0.0012314,0.00022290007,391,0.0014543,0.00063140003,2667
0.0013705,0.00012620003,792,0.0013338,0.00016289996,759,0.0013274,0.00016930001,429,0.0013327,0.00016399997,687,0.0014967,0.00062239997,2667
0.0013314,0.00018770003,758,0.0012971,0.00022200006,759,0.0012959,0.00022320007,736,0.0012941,0.00022500008,414,0.0015191,0.00085790025,2667
0.001333,0.00018560002,759,0.0012996,0.00021900004,775,0.0012983,0.00022030005,720,0.0012982,0.00022040005,413,0.0015186,0.00084530015,2667
0.0013327,0.00019299996,756,0.0012998,0.00022589997,766,0.0012979,0.00022779999,743,0.0012971,0.0002286,402,0.0015257,0.0008752999,2667
0.0013336,0.00019229995,768,0.001298,0.00022789999,781,0.0012973,0.0002286,710,0.0012965,0.0002294,408,0.0015259,0.00087819993,2667
0.0013344,0.0001826,771,0.0012979,0.00021910004,778,0.001298,0.00021900004,726,0.0012959,0.00022110005,392,0.001517,0.0008418001,2667
0.0013429,0.00020480005,767,0.0013075,0.00024020008,748,0.0013073,0.00024040008,764,0.0013051,0.00024259998,388,0.0015477,0.0009280002,2667
0.0013462,0.00020959997,789,0.0012962,0.0002596,755,0.0012962,0.0002596,715,0.0012855,0.00027029996,408,0.0015558,0.0009990999,2667
0.0013534,0.0001382,774,0.0013201,0.00017149991,765,0.0013192,0.00017239992,731,0.0013071,0.00018449989,397,0.0014916,0.0006665997,2667
0.0013837,0.0001348001,812,0.0013516,0.00016689999,758,0.0013476,0.00017090002,396,0.0013484,0.00017010001,701,0.0015185,0.0006427001,2667
0.0014833,0.00025130005,464,0.0014835,0.00025110005,754,0.0015141,0.00022050005,633,0.0015158,0.00021880004,816,0.0017346,0.0009417002,2667
0.0013601,0.00019169995,768,0.0013333,0.00021849992,746,0.0013312,0.00022059993,762,0.0013825,0.00016929989,391,0.0015518,0.0008000997,2667
0.0013864,0.00019230007,801,0.0013483,0.00023040001,742,0.0013488,0.0002299,794,0.0013366,0.00024209998,330,0.0015787,0.00089470006,2667
0.0013819,0.00019689999,779,0.0013466,0.00023220002,765,0.0013464,0.00023240002,763,0.0013347,0.0002441,360,0.0015788,0.0009056,2667
0.0013628,0.00020949997,765,0.00136,0.00021229999,757,0.0013599,0.00021239999,767,0.0013533,0.00021900004,378,0.0015723,0.0008532,2667
0.0013874,0.0001989,785,0.0013503,0.00023599993,756,0.0013493,0.00023699994,774,0.001338,0.00024830003,352,0.0015863,0.0009201999,2667
0.0013858,0.00019669998,790,0.001353,0.00022949988,721,0.0013521,0.00023039989,776,0.0013415,0.00024099997,380,0.0015825,0.00089759973,2667
0.0013728,0.00020940008,767,0.001371,0.0002112001,751,0.0013359,0.0002463,769,0.0013248,0.0002574001,380,0.0015822,0.0009243003,2667
0.0013837,0.00012660003,769,0.0013499,0.00016039994,769,0.0013496,0.00016069994,743,0.0013379,0.00017240003,386,0.0015103,0.00062009995,2667
0.0013944,0.00016309996,811,0.0013404,0.00021710002,739,0.0013402,0.00021730002,735,0.001325,0.00023250002,382,0.0015575,0.00083000003,2667
0.0013948,6.4600026e-05,791,0.0013467,0.00011270004,743,0.0013165,0.00014290004,767,0.0013059,0.0001535,366,0.0014594,0.0004737001,2667
0.0014267,0.0001525,802,0.0013805,0.0001987,792,0.001363,0.00021620002,708,0.0013669,0.00021229999,365,0.0015792,0.0007797,2667
0.0014024,0.00015099999,792,0.0013555,0.0001979,761,0.0013283,0.00022509997,744,0.0013165,0.00023689994,370,0.0015534,0.0008108999,2667
